tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
ray_who,0.0,0.0,1.0,NOT_AGAINST
eyesope53047406,0.0,0.0,1.0,NOT_AGAINST
OTRhiannon,1.0,0.0,0.0,AGAINST
PrinceTerrellJ,0.0,0.0,1.0,NOT_AGAINST
mrianleslie,0.0,0.0,1.0,NOT_AGAINST
tweetertat1,0.0,0.0,1.0,NOT_AGAINST
Winchesterfbpe,1.0,0.0,0.0,AGAINST
world_news_eng,0.0,0.0,2.0,NOT_AGAINST
guardianworld,1.0,0.0,0.0,AGAINST
SentinelUk865,0.0,0.0,1.0,NOT_AGAINST
GrannyWils,1.0,0.0,0.0,AGAINST
EyesRight6,1.0,0.0,0.0,AGAINST
Mark1957,3.0,0.0,0.0,AGAINST
WilmaMcewan1,1.0,0.0,0.0,AGAINST
CirceMolly,1.0,0.0,0.0,AGAINST
SpiritOfEna,1.0,0.0,0.0,AGAINST
elliotdav,1.0,0.0,0.0,AGAINST
suladoyle,1.0,0.0,0.0,AGAINST
DavidPasko_OCT,1.0,0.0,0.0,AGAINST
HousingcrisisL,0.0,0.0,3.0,NOT_AGAINST
Chris96856963,0.0,0.0,1.0,NOT_AGAINST
bcmnewland,1.0,0.0,0.0,AGAINST
RosaL100,0.0,0.0,1.0,NOT_AGAINST
RamyaBhat26,,,,NONE
simon4124,1.0,0.0,3.0,NOT_AGAINST
JaneMactaggartL,1.0,0.0,2.0,NOT_AGAINST
Donald26631410,1.0,0.0,1.0,NOT_AGAINST
LGPP_UK,1.0,0.0,0.0,AGAINST
Wandywild,1.0,0.0,0.0,AGAINST
GirlsMotherof,1.0,0.0,0.0,AGAINST
waters_ivan,2.0,0.0,1.0,AGAINST
AMMcCormack2,2.0,0.0,0.0,AGAINST
TheCuriousApeYT,0.0,0.0,1.0,NOT_AGAINST
CurlyKing79,2.0,0.0,0.0,AGAINST
Janlambr,1.0,0.0,0.0,AGAINST
iseult,1.0,0.0,1.0,NOT_AGAINST
Amina_Lone,0.0,0.0,3.0,NOT_AGAINST
SarahannSarah,2.0,0.0,0.0,AGAINST
Sesostris7,0.0,0.0,1.0,NOT_AGAINST
vrarda1,2.0,0.0,3.0,NOT_AGAINST
interimspace,0.0,0.0,1.0,NOT_AGAINST
CeliaGr28535021,1.0,0.0,2.0,NOT_AGAINST
wordwatching,0.0,0.0,1.0,NOT_AGAINST
STRUDLcz,1.0,0.0,0.0,AGAINST
BeardyClam,1.0,0.0,0.0,AGAINST
gooney_mr,0.0,0.0,1.0,NOT_AGAINST
rosecgwoods,1.0,0.0,0.0,AGAINST
ahead_rock,1.0,0.0,0.0,AGAINST
sadiq_ali_12,1.0,0.0,0.0,AGAINST
Auntie_Tom,1.0,0.0,2.0,NOT_AGAINST
LesleySemmens,2.0,0.0,6.0,NOT_AGAINST
DoubtingDeacon,0.0,0.0,1.0,NOT_AGAINST
stevehmahoney,3.0,0.0,0.0,AGAINST
SmeFlip,0.0,0.0,1.0,NOT_AGAINST
MaryJoMcManus,1.0,0.0,0.0,AGAINST
die_wolff,1.0,0.0,0.0,AGAINST
JimRosenz,1.0,0.0,0.0,AGAINST
jonmarylebone,1.0,0.0,0.0,AGAINST
Flookster2,1.0,0.0,0.0,AGAINST
EsmakBeats,1.0,0.0,1.0,NOT_AGAINST
toadbaiter,2.0,0.0,3.0,NOT_AGAINST
gmanmillwall,1.0,0.0,0.0,AGAINST
MarkDavy642,0.0,0.0,1.0,NOT_AGAINST
trudylynch64,1.0,0.0,2.0,NOT_AGAINST
iLi88y,1.0,0.0,1.0,NOT_AGAINST
maxiboy19641988,1.0,0.0,2.0,NOT_AGAINST
SHLCOKK,1.0,0.0,0.0,AGAINST
gencritgreen,2.0,0.0,5.0,NOT_AGAINST
almulhid,1.0,0.0,0.0,AGAINST
yatakalam,1.0,0.0,0.0,AGAINST
DrBrooski,0.0,0.0,1.0,NOT_AGAINST
NancyKahlo,1.0,0.0,0.0,AGAINST
123hazydays,1.0,0.0,5.0,NOT_AGAINST
Womans_Place_UK,1.0,0.0,9.0,NOT_AGAINST
andrewdoyle_com,1.0,0.0,0.0,AGAINST
ragart69,0.0,0.0,1.0,NOT_AGAINST
CaptainMoonlig1,1.0,0.0,0.0,AGAINST
GlynnMcS,1.0,0.0,0.0,AGAINST
BrittonGillian,2.0,0.0,2.0,NOT_AGAINST
ConraddKonnrad,,,,NONE
Pauline54232922,0.0,0.0,1.0,NOT_AGAINST
SaintCirce,1.0,0.0,5.0,NOT_AGAINST
flonightinghoul,1.0,0.0,0.0,AGAINST
